general labor,"FERRARA CANDY *** PACKAGING ASSISTANTS *** Dekalb (DeKalb) FERRARA CANDY *** PACKAGING ASSISTANTS *** Dekalb  NOW HIRING! Packaging Assistants. New, state-of-the-art facility. $15.75 to $16.00/hr. *** 1st and 2nd SHIFT.  DEKALB area.  Great work environment with a great, fun atmosphere.  Free cell phone after 3 weeks on the job.  CALL OR TEXT TODAY \xe2\x80\x93 224-806-5536 *** APPLY at 1001 E Gurler Road, DeKalb, IL 60115  SURESTAFF is the leading provider of light industrial, logistics, general labor, production, and manufacturing labor in the mid- and southwest with 27 local, convenient offices. Surestaff is an Equal Opportunity Employer (EOE) and we follow CDC and Illinois Dept of Health guidelines for everyone\xe2\x80\x99s safety and health.   CALL OR TEXT TODAY \xe2\x80\x93 224-806-5536",7405032484
customer service,"Office Customer Service Part - Time 24 hrs/wk (SW Chgo Suburbs) We are looking for cheerful, enthusiastic customer service rep to answer phones, taking payments, and reconciling billing statements.    Applicant needs to have excellent verbal and written communication skills.  Must also have math competency for reconciling  billing statements and accounts receivables.  Must also have good knowledge of  Microsoft Excel.  Part time position,  1 pm to 5 pm Monday thru Friday including Saturdays 9am to 1pm.  Prior insurance or banking experience a plus   Must live within 12 miles of Oak Lawn, Illinois and have transportation to get to work and back.  Please reply to this ad or  fax resume to  866/418-3879   \xe2\x80\xa2Principals only. Recruiters, please don\'t contact this job poster. \xe2\x80\xa2do NOT contact us with unsolicited services or offers",7405099747
resumes / job wanted,"quality tech control (west burbs) Manufacturing with metal and plastics. CMM, GD&T.",7396174532
resumes / job wanted,Driver Job Wanted (Chicago) CDL-Class-B Looking for Small Truck Delivery work Prefer Days Thanks Jeff  show contact info,7400075704
transportation,"$400/DAY Class A LOCAL/REGIONAL CDL Driver (Lemont, IL) Family owned small trucking company, need to extend the family with you . We take care of Family! The owner of the company is a truck driver since 2007 and understand what the job means and he can relate.  Job description: Work on 53 Ft Dry Vans Pick up and deliveries in in the area and the neighboring states 500 miles radius from Lemont, IL Most often less then 150 miles radius from Lemont, IL Taking truck or trailer for maintenance when necessary Picking up and dropping off trailers empty or loaded Picking up and dropping off at BNSF Rail. No chassis . These are regular Dry Vans Live loads and unloads Most loads are no touch Some days start at 5 Am, some at 9, some at 10.  Occasional late delivery will be required/ once a month or so Home most nights and most weekends, Holidays by request or if no work available. Rail experience is a plus Pet friendly  PAY $$$$  NO ESCROW $400/worked day with Weekends optional . We have plenty of work $200/day guaranteed Monday to Friday if not dispatched, extremely rare. It happens only if the truck is in the shop Can make $2800+/week with extra weekend days Can make over $1100/ month Can make over $130000/ year 5 days vacation pay after 180 days Safety bonus and performance bonus available Most days are 10 working hours, sometimes 12, sometimes less. Paid orientation (only need 1 day) We pay weekly via Direct Deposit or Zele and other quick pay forms  Drug test screening mandatory for hire and random test during the employment!!!!! We require minimum 3 years of Commercial driving experience  We require good driving skills Good driving record and clean drug test are required! We do random drug test that need to be Negative                     Newer and in great shape automatic PETERBILT          Contractors 1099   Serious inquiries only!",7406024714
general labor,"Find a job now in Chicago - Earn up to Up to $16.80/hour (Chicago) Hello , Amazon is hiring in Chicago. Earn up to Up to $16.80/hour/hr as a Amazon Delivery Station Warehouse Associate.     Health and safety are a top priority with all of our roles and sites. Learn more about the precautions Amazon is taking in our buildings to keep people healthy. Questions? Visit our FAQ page for more information.            Amazon is always looking for ways to wow their customers and sometimes that means we\xe2\x80\x99re opening a new facility or one of our current locations is in high demand. This creates a unique opportunity that benefits new hires: bonus incentives based on the role or the location, but only for a limited-time. We may be hiring near you, so it literally pays to start now! Join the Amazon team and work at a warehouse close to home! No experience? Amazon warehouse jobs are a great way to start earning money with or without experience in a distribution center, factory, or warehouse. Amazon warehouse employees come from a variety of industries and experience levels. From Uber to Trader Joe\xe2\x80\x99s, Amazon warehouses are home to associates with backgrounds ranging from transportation, retail, Walmart warehouses, Target distribution centers, FedEx warehouse package handlers, UPS warehouses, packing jobs, shipping & receiving, customer service, creative industries, general labor, and more! Our employees have worked at Lowes, Home Depot, HD Supply, OnTrac, DHL and more\xe2\x80\xa6 Ready to join our versatile team? Apply for a full-time, part-time, or seasonal job today!!   Amazon is an Equal Opportunity Employer",7405098470
manufacturing,"Quality Technician (East Dundee) Made To Measure The leader in Metrology. Join our quality dynamic team and be exposed to every corner of manufacturing. Our laboratory is an open flexible environment. We offer the best training there is in the metrology world. www.madetomeasurecmm.com  Job Summary  At M2M, the Quality Technician is responsible for measuring parts using hand tools, load and unload parts in Coordinate Measuring Machines and Vision Measuring Machines. Interprets drawings per applicable ASME, ISO or Customer \xe2\x80\x98s standards. High accuracy and attention to detail.  This position works under moderate to high level of supervision and seeks direction/guidance on difficult problems.  This is a full-time, will-train position. Limited travel may be required.  Primary Duties and Responsibilities\xc2\xb7 Completing dimensional inspection projects per drawings, work instructions and M2M standard.\xc2\xb7 Ballooning drawings and setting-up Inspection Reports per M2M standard.\xc2\xb7 Running programs on CMM\xe2\x80\x99s and VMM\xe2\x80\x99s.\xc2\xb7 Competently interpreting drawings, specifications per applicable standards (GD&T \xe2\x80\x93 ASME and ISO).\xc2\xb7   Education/Experience Requirements  Experience in quality control, dimensional inspection.  Knowledge and experience with the use of Microsoft Excel required. Coordinate metrology experience and working knowledge of CMM software: ANY cmm software knowledge is a plus.  Relationships/Contacts Daily contact with Director of Metrology & Quality Manager.\xc2\xb7 Reports to Level 2 & 3 Metrologist.  Job Type: Full-time  Salary: $18.00 to $22.00 /hour  Qualification Questions  You have requested that Indeed ask candidates the following questions:",7405084958
food/beverage/hospitality,"PM Line Cook & Dishwasher (FT/PT)- Great Pay, Northside, Easy Parking! (Andersonville) Replay Andersonville (5358 N. Clark Street) is seeking experienced full-time line cooks to join our talented team and part time evening dishwasher.  Shifts available: 4PM-11PM Wednesday - Sunday.  Our location offers a menu of freshly prepared sandwiches, salads, appetizers, entrees and more- serving lunch starting at 12PM Monday-Friday, brunch starting at 10AM Saturday and Sunday, and dinner 7 days a week.  We offer competitive pay, health insurance available for full-time staff, and a great work environment.  Requirements:  We seek applicants with strong experience cooking to temperature, dealing with high volume, and who are able to work in an organized manner with our team.  We pride ourselves on having a friendly kitchen and look for people who will fit in with our crew.  Please send your resume to jobs@lkhmgmt.com or apply in person Monday-Friday at Replay Andersonville (see Chef Juan or Bernardo), 5358 N. Clark Street, from 12PM-5PM.  Replay is located at the corner of Balmoral and Clark, one block west of Ashland with convenient free parking available 1/2 block away on Ashland Avenue.",7406755821
general labor,"Inventory Control/ Porter Needed (Evanston) SALES PORTER Responsibilities: \xe2\x80\xa2 Move cars from lots, detail shop, and other designated areas \xe2\x80\xa2 Account for all cars on multiple lots \xe2\x80\xa2 Drive and handle cars responsibly to ensure property is protected and damage is prevented \xe2\x80\xa2 Ensure cleanliness of interiors and exteriors of all in stock and sold vehicles \xe2\x80\xa2 Perform tasks including but not limited to filling up gas, jumping batteries, organizing parking lots, etc.  Qualifications: \xe2\x80\xa2 High School Diploma or equivalent \xe2\x80\xa2 Valid driver\xe2\x80\x99s license and good driving record \xe2\x80\xa2 Willingness to learn and preform wide range of assigned tasks \xe2\x80\xa2 Organized and productive in fast paced environment \xe2\x80\xa2 Willingness to work irregular business hours- nights and Saturdays are essential",7406505402
transportation,"WIDER GROUP- TEAMS FEDEX DEDICATED HIRING AREA: 80 Mile Radius of Bridgeview, IL\xc2\xa0\xc2\xa0Double TEAM the freight and don\xe2\x80\x99t be late! Wider Group is looking for TEAMs to pull DEDICATED FedEx accounts!\xc2\xa0We will also match you with a driver if you want to create a team!\xc2\xa0What\xe2\x80\x99s awesome about this job?\xc2\xa0$4,200 Per week- SALARIED PAY\xc2\xa02 days at home per week\xc2\xa0$1,000 sign on bonus\xc2\xa0per Driver!\xc2\xa0Late Model trucks\xc2\xa0Don\xe2\x80\x99t let this be a \xe2\x80\x9cI wish I had!\xe2\x80\x9d Make Wider Group your \xe2\x80\x9cI am glad I did!\xe2\x80\x9dAPPLY HERE TODAY \xc2\xa0https://intelliapp.driverapponline.com/c/widergroup?R=Fusioncast",7406955464
